rowid,pl_hostname,pl_letter,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,ra,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,pl_name,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_mnum,gaia_plx,gaia_plxerr1,gaia_plxerr2,gaia_plxlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,gaia_pmra,gaia_pmraerr,gaia_pmralim,gaia_pmdec,gaia_pmdecerr,gaia_pmdeclim,gaia_pm,gaia_pmerr,gaia_pmlim,st_radv,st_radverr1,st_radverr2,st_radvlim,st_radvblend,st_sp,st_spstr,st_sperr,st_splim,st_spblend,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggblend,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_lumblend,st_metfe,st_metfeerr1,st_metfeerr2,st_metfelim,st_metfeblend,st_age,st_ageerr1,st_ageerr2,st_agelim,st_vsini,st_vsinierr1,st_vsinierr2,st_vsinilim,st_vsiniblend,st_acts,st_actserr,st_actslim,st_actsblend,st_actlx,st_actlxerr,st_actlxlim,st_actlxblend,st_uj,st_ujerr,st_ujlim,st_ujblend,st_vj,st_vjerr,st_vjlim,st_vjblend,st_bj,st_bjerr,st_bjlim,st_bjblend,st_rc,st_rcerr,st_rclim,st_rcblend,st_ic,st_icerr,st_iclim,st_icblend,st_j,st_jerr,st_jlim,st_jblend,st_h,st_herr,st_hlim,st_hblend,st_k,st_kerr,st_klim,st_kblend,st_wise1,st_wise1err,st_wise1lim,st_wise1blend,st_wise2,st_wise2err,st_wise2lim,st_wise2blend,st_wise3,st_wise3err,st_wise3lim,st_wise3blend,st_wise4,st_wise4err,st_wise4lim,st_wise4blend,st_irac1,st_irac1err,st_irac1lim,st_irac1blend,st_irac2,st_irac2err,st_irac2lim,st_irac2blend,st_irac3,st_irac3err,st_irac3lim,st_irac3blend,st_irac4,st_irac4err,st_irac4lim,st_irac4blend
2471,Kepler-406,c,2,4.62332000,,,0,,,,,0.00900,0.00600,-0.00600,0,0.076,0.003,-0.003,0,291.848044,44.968224,,,,,12.520,,0,0,Kepler-band,,,,5538.00,75.00,-75.00,0,0,1.07,0.06,-0.06,0,0,1.07,0.02,-0.02,0,0,Kepler-406 c,0.00900,0.00600,-0.00600,0,0.850,0.030,-0.030,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41,0.02,-0.02,0,0,,,,,,0.180,0.070,-0.070,0,0,5.840,,,0,0.4000,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.340,0.021,0,0,11.035,0.017,0,0,10.970,0.017,0,0,10.934,0.023,0,1,10.984,0.021,0,0,11.047,0.085,0,0,8.932,,-1,0,,,,,,,,,,,,,,,,
2472,Kepler-407,b,2,0.66931000,,,0,,,,,,,,,0.095,0.002,-0.002,0,286.036347,49.614506,,,,,12.521,,0,0,Kepler-band,,,,5476.00,75.00,-75.00,0,0,1.00,0.06,-0.06,0,0,1.01,0.07,-0.07,0,0,Kepler-407 b,,,,,1.070,0.020,-0.020,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.43,0.06,-0.06,0,0,,,,,,0.330,0.070,-0.070,0,0,7.470,,,0,2.0000,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.332,0.024,0,0,10.983,0.028,0,0,10.911,0.023,0,0,10.865,0.023,0,0,10.922,0.020,0,0,10.848,0.070,0,0,9.604,,-1,0,,,,,,,,,,,,,,,,
2473,Kepler-407,c,2,3000.00000000,500.00000000,-500.00000000,0,,,,,12.60000,6.30000,-6.30000,0,,,,,286.036347,49.614506,,,,,12.521,,0,0,Kepler-band,,,,5476.00,75.00,-75.00,0,0,1.00,0.06,-0.06,0,0,1.01,0.07,-0.07,0,0,Kepler-407 c,12.60000,6.30000,-6.30000,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.43,0.06,-0.06,0,0,,,,,,0.330,0.070,-0.070,0,0,7.470,,,0,2.0000,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.332,0.024,0,0,10.983,0.028,0,0,10.911,0.023,0,0,10.865,0.023,0,0,10.922,0.020,0,0,10.848,0.070,0,0,9.604,,-1,0,,,,,,,,,,,,,,,,
2474,Kepler-408,b,1,2.46502000,,,0,,,,,,,,,0.073,0.003,-0.003,0,284.786175,48.423233,,,,,8.769,,0,0,Kepler-band,,,,6104.00,74.00,-74.00,0,0,1.08,0.07,-0.07,0,0,1.23,0.03,-0.03,0,0,Kepler-408 b,,,,,0.820,0.030,-0.030,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.29,0.03,-0.03,0,0,,,,,,-0.200,0.100,-0.100,0,0,6.680,,,0,3.1000,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.784,0.021,0,0,7.539,0.021,0,0,7.486,0.018,0,0,7.445,0.035,0,0,7.507,0.020,0,0,7.486,0.018,0,0,7.433,0.094,0,0,,,,,,,,,,,,,,,,
2475,Kepler-409,b,1,68.95840000,,,0,,,,,,,,,0.106,0.003,-0.003,0,293.679190,46.852764,,,,,9.439,,0,0,Kepler-band,,,,5460.00,75.00,-75.00,0,0,0.92,0.06,-0.06,0,0,0.89,0.02,-0.02,0,0,Kepler-409 b,,,,,1.190,0.030,-0.030,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50,0.03,-0.03,0,0,,,,,,0.080,0.100,-0.100,0,0,6.800,,,0,2.0000,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.200,0.018,0,0,7.838,0.020,0,0,7.768,0.022,0,0,7.707,0.028,0,0,7.781,0.019,0,0,7.733,0.017,0,0,7.720,0.112,0,0,,,,,,,,,,,,,,,,
2476,Kepler-41,b,1,1.85555820,0.00000052,-0.00000052,0,0.031010,0.000400,-0.000400,0,0.56000,0.08000,-0.08000,0,1.290,0.020,-0.020,0,294.513229,45.981644,770.00,100.00,-100.00,0,14.465,,0,0,Kepler-band,,,,5750.00,100.00,-100.00,0,0,1.15,0.04,-0.04,0,0,1.29,0.02,-0.02,0,0,Kepler-41 b,0.56000,0.08000,-0.08000,0,14.460,0.220,-0.220,0,0,,,,,,,,,,,,,,,,,,-27.07,0.01,-0.01,0,0,4.20,G2 V,,0,0,4.28,0.01,-0.01,0,0,,,,,0,0.380,0.110,-0.110,0,0,4.400,1.300,-1.100,0,6.0000,2.0000,-2.0000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.262,0.022,0,0,12.938,0.024,0,0,12.892,0.028,0,0,12.835,0.024,0,0,12.887,0.024,0,0,12.534,0.272,0,0,9.132,,-1,0,,,,,,,,,,,,,,,,
2477,Kepler-410 A,b,1,17.83364800,0.00005400,-0.00005400,0,0.122600,0.004700,-0.004700,0,,,,,0.253,0.005,-0.005,0,283.150698,45.139832,132.00,6.90,-6.90,0,9.364,,0,0,Kepler-band,,,,6273.00,140.00,-140.00,0,0,1.21,0.03,-0.03,0,0,1.35,0.01,-0.01,0,0,Kepler-410 A b,,,,,2.838,0.054,-0.054,0,0,,,,,,,,,,,,,,,,,,-40.99,0.30,-0.30,0,0,,,,,,4.26,0.01,-0.01,0,0,0.435,0.028,-0.030,0,0,0.010,0.100,-0.100,0,0,2.760,0.540,-0.540,0,12.9000,0.6000,-0.6000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.417,0.020,0,0,8.191,0.021,0,0,8.140,0.013,0,0,8.104,0.022,0,1,8.139,0.020,0,0,8.108,0.019,0,0,7.846,0.121,0,0,,,,,,,,,,,,,,,,
2478,Kepler-411,b,2,3.00516000,0.00001000,-0.00001000,0,0.038000,0.001000,-0.001000,0,,,,,0.168,0.018,-0.018,0,287.605582,49.523262,,,,,12.231,,0,0,Kepler-band,,,,4974.00,46.00,-51.00,0,0,0.83,0.04,-0.10,0,0,0.79,0.07,-0.06,0,0,Kepler-411 b,,,,,1.880,0.200,-0.200,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54,0.07,-0.07,0,0,-0.509,0.077,-0.111,0,0,0.230,0.370,-0.480,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.641,0.022,0,0,10.161,0.028,0,0,10.062,0.023,0,0,9.920,0.023,0,0,9.952,0.020,0,0,9.880,0.035,0,1,9.269,,-1,0,,,,,,,,,,,,,,,,
2479,Kepler-411,c,2,7.83442788,0.00000298,-0.00000298,0,,,,,,,,,0.292,0.011,-0.006,0,287.605582,49.523262,,,,,12.231,,0,0,Kepler-band,,,,4974.00,46.00,-51.00,0,0,0.83,0.04,-0.10,0,0,0.79,0.07,-0.06,0,0,Kepler-411 c,,,,,3.270,0.120,-0.070,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54,0.07,-0.07,0,0,-0.509,0.077,-0.111,0,0,0.230,0.370,-0.480,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.641,0.022,0,0,10.161,0.028,0,0,10.062,0.023,0,0,9.920,0.023,0,0,9.952,0.020,0,0,9.880,0.035,0,1,9.269,,-1,0,,,,,,,,,,,,,,,,
2480,Kepler-412,b,1,1.72086040,0.00000030,-0.00000030,0,0.028970,0.000930,-0.000920,0,0.94100,0.12500,-0.01900,0,1.341,0.044,-0.046,0,286.110327,43.680958,1056.00,36.00,-36.00,0,13.730,0.240,0,0,V (Johnson),,,,5750.00,90.00,-90.00,0,0,1.17,0.09,-0.09,0,0,1.29,0.04,-0.04,0,0,Kepler-412 b,0.94100,0.12500,-0.01900,0,15.031,0.493,-0.516,0,0,,,,,,,,,,,,,,,,,,-54.58,0.01,-0.01,0,0,4.30,G3 V,,0,0,4.30,0.07,-0.07,0,0,,,,,0,0.270,0.120,-0.120,0,0,,,,0,5.0000,1.0000,-1.0000,0,0,,,,,,,,,,,,,13.730,0.240,0,0,,,,,,,,,,,,,13.190,0.027,0,0,12.932,0.033,0,0,12.837,0.031,0,1,12.866,0.027,0,0,12.897,0.030,0,0,12.577,,-1,0,8.931,,-1,0,,,,,,,,,,,,,,,,
2481,Kepler-413,b,1,66.26200000,0.02400000,-0.02100000,0,0.355300,0.002000,-0.001800,0,0.21100,0.06900,-0.06600,0,0.388,0.009,-0.009,0,288.510620,51.162472,,,,,15.520,,0,0,Kepler-band,,,,4700.00,,,0,0,0.82,0.01,-0.01,0,0,0.78,0.01,-0.01,0,0,Kepler-413 b,0.21100,0.06900,-0.06600,0,4.347,0.099,-0.099,0,0,,,,,,,,,,,,,,,,,,-27.78,0.10,-0.11,0,0,,,,,,4.57,0.01,-0.01,0,0,,,,,,-0.200,,,0,0,,,,,5.0000,2.0000,-2.0000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.987,0.028,0,0,13.505,0.039,0,0,13.415,0.037,0,0,13.158,0.024,0,0,13.174,0.025,0,0,12.945,0.372,0,0,9.681,,-1,0,,,,,,,,,,,,,,,,
2482,Kepler-414,b,2,4.70000000,,,0,,,,,0.01100,0.01100,-0.00900,0,0.153,0.028,-0.012,0,297.961566,48.244362,,,,,13.338,,0,0,Kepler-band,,,,,,,,0,0.89,,,0,0,0.95,,,0,0,Kepler-414 b,0.01100,0.01100,-0.00900,0,1.710,0.310,-0.140,0,0,,,,,,,,,,,,,,,,,,-28.20,0.18,-0.18,0,0,,,,,,,,,,0,,,,,0,,,,,0,,,,0,6.1000,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.087,0.024,0,0,11.750,0.015,0,0,11.698,0.020,0,0,11.629,0.023,0,0,11.669,0.021,0,0,11.427,0.127,0,0,9.485,,-1,0,,,,,,,,,,,,,,,,
2483,Kepler-414,c,2,7.17100000,,,0,,,,,0.09400,0.03900,-0.03300,0,0.269,0.048,-0.022,0,297.961566,48.244362,,,,,13.338,,0,0,Kepler-band,,,,,,,,0,0.89,,,0,0,0.95,,,0,0,Kepler-414 c,0.09400,0.03900,-0.03300,0,3.010,0.540,-0.250,0,0,,,,,,,,,,,,,,,,,,-28.20,0.18,-0.18,0,0,,,,,,,,,,0,,,,,0,,,,,0,,,,0,6.1000,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.087,0.024,0,0,11.750,0.015,0,0,11.698,0.020,0,0,11.629,0.023,0,0,11.669,0.021,0,0,11.427,0.127,0,0,9.485,,-1,0,,,,,,,,,,,,,,,,
2484,Kepler-415,b,2,4.17600000,,,0,,,,,0.37700,0.32100,-0.27500,0,0.108,0.012,-0.009,0,293.804434,38.639131,,,,,15.842,,0,0,Kepler-band,,,,,,,,0,0.67,,,0,0,0.64,,,0,0,Kepler-415 b,0.37700,0.32100,-0.27500,0,1.210,0.130,-0.100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.091,0.035,0,0,13.434,0.031,0,0,13.378,0.040,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485,Kepler-415,c,2,8.70800000,,,0,,,,,,,,,,,,,293.804434,38.639131,,,,,15.842,,0,0,Kepler-band,,,,,,,,0,0.67,,,0,0,0.64,,,0,0,Kepler-415 c,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.091,0.035,0,0,13.434,0.031,0,0,13.378,0.040,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486,Kepler-416,b,2,6.31900000,,,0,,,,,0.18300,0.16800,-0.12400,0,0.221,0.088,-0.029,0,291.556965,39.227287,,,,,14.028,,0,0,Kepler-band,,,,,,,,0,1.00,,,0,0,1.07,,,0,0,Kepler-416 b,0.18300,0.16800,-0.12400,0,2.480,0.990,-0.330,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.874,0.025,0,0,12.576,0.025,0,0,12.510,0.027,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487,Kepler-416,c,2,12.20900000,,,0,,,,,,,,,,,,,291.556965,39.227287,,,,,14.028,,0,0,Kepler-band,,,,,,,,0,1.00,,,0,0,1.07,,,0,0,Kepler-416 c,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.874,0.025,0,0,12.576,0.025,0,0,12.510,0.027,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488,Kepler-417,b,2,12.33100000,,,0,,,,,0.03500,0.02900,-0.02500,0,0.206,0.077,-0.015,0,293.824314,42.779705,,,,,15.886,,0,0,Kepler-band,,,,,,,,0,0.90,,,0,0,0.81,,,0,0,Kepler-417 b,0.03500,0.02900,-0.02500,0,2.310,0.860,-0.170,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.426,0.032,0,0,13.958,0.037,0,0,13.922,0.058,0,0,13.719,0.027,0,0,13.748,0.031,0,0,12.541,,-1,0,9.393,,-1,0,,,,,,,,,,,,,,,,
2489,Kepler-417,c,2,15.94300000,,,0,,,,,,,,,,,,,293.824314,42.779705,,,,,15.886,,0,0,Kepler-band,,,,,,,,0,0.90,,,0,0,0.81,,,0,0,Kepler-417 c,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.426,0.032,0,0,13.958,0.037,0,0,13.922,0.058,0,0,13.719,0.027,0,0,13.748,0.031,0,0,12.541,,-1,0,9.393,,-1,0,,,,,,,,,,,,,,,,
2490,Kepler-418,b,1,86.67856000,0.00007000,-0.00007000,0,,,,,1.10000,,,1,1.200,0.160,-0.160,0,294.433512,38.355450,,,,,14.696,,0,0,Kepler-band,,,,5820.00,100.00,-100.00,0,0,0.98,0.08,-0.08,0,0,1.09,0.14,-0.14,0,0,Kepler-418 b,1.10000,,,1,13.450,1.790,-1.790,0,0,,,,,,,,,,,,,,,,,,-18.45,0.01,-0.01,0,0,,,,,,4.35,0.10,-0.10,0,0,,,,,0,-0.050,0.100,-0.100,0,0,7.000,3.000,-4.000,0,3.5000,1.0000,-1.0000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.493,0.024,0,0,13.243,0.031,0,0,13.103,0.034,0,0,13.093,0.026,0,0,13.148,0.027,0,0,12.721,0.415,0,0,9.311,,-1,0,,,,,,,,,,,,,,,,
2491,Kepler-419,b,2,69.75460000,0.00070000,-0.00090000,0,0.370000,0.007000,-0.006000,0,2.50000,0.30000,-0.30000,0,0.960,0.120,-0.120,0,295.417899,51.184765,,,,,13.005,,0,0,Kepler-band,,,,6430.00,79.00,-79.00,0,0,1.39,0.08,-0.07,0,0,1.74,0.07,-0.07,0,0,Kepler-419 b,2.50000,0.30000,-0.30000,0,10.800,1.400,-1.300,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.10,0.12,-0.12,0,0,,,,,0,0.176,0.070,-0.070,0,0,,,,0,14.4100,1.3000,-1.3000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.088,0.020,0,0,11.899,0.019,0,0,11.859,0.018,0,0,11.829,0.023,0,0,11.851,0.021,0,0,11.815,0.151,0,0,9.560,,-1,0,,,,,,,,,,,,,,,,
2492,Kepler-419,c,2,675.47000000,0.11000000,-0.11000000,0,1.680000,0.030000,-0.030000,0,7.30000,0.40000,-0.40000,0,,,,,295.417899,51.184765,,,,,13.005,,0,0,Kepler-band,,,,6430.00,79.00,-79.00,0,0,1.39,0.08,-0.07,0,0,1.74,0.07,-0.07,0,0,Kepler-419 c,7.30000,0.40000,-0.40000,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.10,0.12,-0.12,0,0,,,,,0,0.176,0.070,-0.070,0,0,,,,0,14.4100,1.3000,-1.3000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.088,0.020,0,0,11.899,0.019,0,0,11.859,0.018,0,0,11.829,0.023,0,0,11.851,0.021,0,0,11.815,0.151,0,0,9.560,,-1,0,,,,,,,,,,,,,,,,
2493,Kepler-42,b,3,1.21376720,0.00000460,-0.00000460,0,0.011600,,,0,,,,,0.070,0.020,-0.020,0,292.219033,44.619160,38.70,6.30,-6.30,0,16.124,0.055,0,0,V (Johnson),,,,3068.00,174.00,-174.00,0,0,0.13,0.05,-0.05,0,0,0.17,0.04,-0.04,0,0,Kepler-42 b,,,,,0.780,0.220,-0.220,0,0,,,,,,,,,,,,,,,,,,-84.48,0.20,-0.20,0,0,6.00,M,,,0,4.71,,,0,0,-2.620,0.300,-0.300,0,0,-0.330,0.120,-0.120,0,0,4.500,0.500,-1.000,0,3.3000,,,1,0,,,,,,,,,,,,,16.124,0.055,0,0,17.960,0.140,0,0,15.055,0.051,0,0,,,,,12.177,0.021,0,0,11.685,0.018,0,0,11.465,0.018,0,0,11.257,0.023,0,0,11.065,0.020,0,0,10.935,0.077,0,0,9.007,,-1,0,,,,,,,,,,,,,,,,
2494,Kepler-42,c,3,0.45328509,0.00000097,-0.00000097,0,0.006000,,,0,,,,,0.065,0.018,-0.018,0,292.219033,44.619160,38.70,6.30,-6.30,0,16.124,0.055,0,0,V (Johnson),,,,3068.00,174.00,-174.00,0,0,0.13,0.05,-0.05,0,0,0.17,0.04,-0.04,0,0,Kepler-42 c,,,,,0.730,0.200,-0.200,0,0,,,,,,,,,,,,,,,,,,-84.48,0.20,-0.20,0,0,6.00,M,,,0,4.71,,,0,0,-2.620,0.300,-0.300,0,0,-0.330,0.120,-0.120,0,0,4.500,0.500,-1.000,0,3.3000,,,1,0,,,,,,,,,,,,,16.124,0.055,0,0,17.960,0.140,0,0,15.055,0.051,0,0,,,,,12.177,0.021,0,0,11.685,0.018,0,0,11.465,0.018,0,0,11.257,0.023,0,0,11.065,0.020,0,0,10.935,0.077,0,0,9.007,,-1,0,,,,,,,,,,,,,,,,
2495,Kepler-42,d,3,1.86516900,0.00001400,-0.00001400,0,0.015400,,,0,,,,,0.051,0.016,-0.016,0,292.219033,44.619160,38.70,6.30,-6.30,0,16.124,0.055,0,0,V (Johnson),,,,3068.00,174.00,-174.00,0,0,0.13,0.05,-0.05,0,0,0.17,0.04,-0.04,0,0,Kepler-42 d,,,,,0.570,0.180,-0.180,0,0,,,,,,,,,,,,,,,,,,-84.48,0.20,-0.20,0,0,6.00,M,,,0,4.71,,,0,0,-2.620,0.300,-0.300,0,0,-0.330,0.120,-0.120,0,0,4.500,0.500,-1.000,0,3.3000,,,1,0,,,,,,,,,,,,,16.124,0.055,0,0,17.960,0.140,0,0,15.055,0.051,0,0,,,,,12.177,0.021,0,0,11.685,0.018,0,0,11.465,0.018,0,0,11.257,0.023,0,0,11.065,0.020,0,0,10.935,0.077,0,0,9.007,,-1,0,,,,,,,,,,,,,,,,
2496,Kepler-421,b,1,704.19840000,0.00160000,-0.00160000,0,1.219000,0.089000,-0.089000,0,,,,,0.371,0.017,-0.014,0,283.256822,45.087776,320.00,20.00,-20.00,0,13.354,,0,0,Kepler-band,,,,5308.00,50.00,-50.00,0,0,0.79,0.03,-0.03,0,0,0.76,0.03,-0.03,0,0,Kepler-421 b,,,,,4.160,0.190,-0.160,0,0,,,,,,,,,,,,,,,,,,,,,,,4.95,G9/K0,,0,0,4.61,0.10,-0.10,0,0,-0.398,0.061,-0.071,0,0,-0.250,0.080,-0.080,0,0,4.000,0.800,-0.800,0,0.0000,0.5000,-0.5000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.009,0.020,0,0,11.619,0.019,0,0,11.535,0.017,0,0,11.467,0.023,0,1,11.494,0.021,0,1,11.504,0.123,0,0,9.354,,-1,0,,,,,,,,,,,,,,,,
2497,Kepler-422,b,1,7.89144830,0.00000050,-0.00000051,0,0.082000,0.011000,-0.010000,0,0.43000,0.13000,-0.13000,0,1.150,0.110,-0.110,0,282.629656,46.323357,,,,,13.435,,0,0,Kepler-band,,,,5972.00,84.00,-84.00,0,0,1.15,0.06,-0.06,0,0,1.24,0.12,-0.12,0,0,Kepler-422 b,0.43000,0.13000,-0.13000,0,12.890,1.230,-1.230,0,0,,,,,,,,,,,,,,,,,,-11.69,0.12,-0.12,0,0,,,,,,4.31,0.07,-0.07,0,0,0.240,0.080,-0.100,0,0,0.230,0.090,-0.090,0,0,,,,0,2.2000,1.3000,-1.3000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.357,0.025,0,0,12.126,0.019,0,0,12.041,0.011,0,0,12.037,0.022,0,0,12.079,0.021,0,0,12.051,0.190,0,0,9.255,,-1,0,,,,,,,,,,,,,,,,
2498,Kepler-423,b,1,2.68432850,0.00000007,-0.00000007,0,0.035850,0.000520,-0.001140,0,0.59500,0.08100,-0.08100,0,1.192,0.052,-0.052,0,292.855742,46.391178,725.00,75.00,-75.00,0,14.290,,0,0,Kepler-band,,,,5560.00,80.00,-80.00,0,0,0.85,0.04,-0.04,0,0,0.95,0.04,-0.04,0,0,Kepler-423 b,0.59500,0.08100,-0.08100,0,13.361,0.583,-0.583,0,0,,,,,,,,,,,,,,,,,,-3.04,0.01,-0.01,0,0,4.40,G4 V,,0,0,4.41,0.04,-0.04,0,0,,,,,0,-0.100,0.050,-0.050,0,0,11.000,2.000,-2.000,0,2.5000,0.5000,-0.5000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.142,0.022,0,0,12.847,0.018,0,0,12.779,0.030,0,0,12.656,0.024,0,1,12.696,0.023,0,0,12.649,0.363,0,0,9.509,,-1,0,,,,,,,,,,,,,,,,
2499,Kepler-424,b,2,3.31186440,0.00000039,-0.00000039,0,0.044000,0.005000,-0.004000,0,1.03000,0.13000,-0.13000,0,0.890,0.080,-0.060,0,298.624890,48.577454,,,,,14.256,,0,0,Kepler-band,,,,5460.00,81.00,-81.00,0,0,1.01,0.05,-0.05,0,0,0.94,0.06,-0.06,0,0,Kepler-424 b,1.03000,0.13000,-0.13000,0,9.980,0.900,-0.670,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50,0.05,-0.05,0,0,-0.150,0.060,-0.070,0,0,0.440,0.140,-0.140,0,0,,,,0,0.5000,1.0000,-1.0000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.905,0.025,0,0,12.600,0.032,0,0,12.470,0.022,0,0,12.472,0.022,0,0,12.550,0.023,0,0,12.243,,-1,0,9.305,,-1,0,,,,,,,,,,,,,,,,
2500,Kepler-424,c,2,223.30000000,2.10000000,-2.10000000,0,0.730000,0.080000,-0.070000,0,6.97000,0.62000,-0.62000,0,,,,,298.624890,48.577454,,,,,14.256,,0,0,Kepler-band,,,,5460.00,81.00,-81.00,0,0,1.01,0.05,-0.05,0,0,0.94,0.06,-0.06,0,0,Kepler-424 c,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50,0.05,-0.05,0,0,-0.150,0.060,-0.070,0,0,0.440,0.140,-0.140,0,0,,,,0,0.5000,1.0000,-1.0000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.905,0.025,0,0,12.600,0.032,0,0,12.470,0.022,0,0,12.472,0.022,0,0,12.550,0.023,0,0,12.243,,-1,0,9.305,,-1,0,,,,,,,,,,,,,,,,
2501,Kepler-425,b,1,3.79701816,0.00000019,-0.00000019,0,0.046400,0.000800,-0.000800,0,0.25000,0.08000,-0.08000,0,0.978,0.022,-0.022,0,290.358009,40.567738,650.00,20.00,-20.00,0,14.970,0.040,0,0,V (Johnson),,,,5170.00,70.00,-70.00,0,0,0.93,0.05,-0.05,0,0,0.86,0.02,-0.02,0,0,Kepler-425 b,0.25000,0.08000,-0.08000,0,10.962,0.247,-0.247,0,0,,,,,,,,,,,,,,,,,,-45.40,0.01,-0.01,0,0,5.10,K1 V,,0,0,4.54,0.01,-0.01,0,0,-0.323,0.031,-0.031,0,0,0.240,0.110,-0.110,0,0,5.000,4.000,-4.000,0,3.0000,1.0000,-1.0000,0,0,,,,,,,,,,,,,14.970,0.040,0,0,16.047,0.016,0,0,,,,,,,,,13.376,0.021,0,0,12.931,0.020,0,0,12.806,0.027,0,0,12.798,0.024,0,0,12.871,0.026,0,0,13.039,0.539,0,0,9.332,,-1,0,,,,,,,,,,,,,,,,
